Name,Industry,Sector,Headquarters,Founded,Notes,"Status (P=Private, S=State; A=Active, D=Defunct)"
A. Lange & Söhne,Consumer goods,Clothing & accessories,Glashütte,1845,"Watches, owned by Richemont",P | A
Aareal Bank,Financials,Banks,Wiesbaden,1922,Banking and financial services,P | A
Adidas,Consumer goods,Clothing & accessories,Herzogenaurach,1924,Shoes & sports apparel & accessories manufacturer,P | A
Aldi,Consumer services,Food retailers & wholesalers,Essen,1913,Discount retail chains,P | A
Allianz,Financials,Full line insurance,Munich,1890,Insurance and asset management,P | A
Alpina,Consumer goods,Automobiles,Buchloe,1965,"Automotive manufacturer, part of BMW",P | A
Altana,Basic materials,Speciality chemicals,Wesel,1977,Chemicals,P | A
Aral,Consumer services,Specialty retailers,Bochum,1898,Part of BP,P | A
Arburg,Industrials,Industrial machinery,Loßburg,1923,Machinery and injection molding,P | A
Arcandor,Consumer services,Broadline retailers,Essen,1999,Defunct 2009,P | D
Arcor,Telecommunications,Fixed line telecommunications,Eschborn,1996,"Telecom, part of Vodafone (UK)",P | A
Armedangels,Consumer goods,Clothing & accessories,Cologne,2007,Fashion,P | A
Audi,Consumer goods,Automobiles,Ingolstadt,1910,"Auto manufacturer, part of Volkswagen Group",P | A
August Storck,Consumer goods,Food products,Berlin,1903,Confectionery,P | A
Aurubis,Basic materials,Nonferrous metals,Hamburg,2008,Copper manufacturing,P | A
Auto Union,Consumer goods,Automobiles,Neckarsulm,1932,"Defunct, now part of Audi",P | D
Axel Springer,Consumer services,Publishing,Berlin,1946,Digital publishing,P | A
B. Braun,Health care,Pharmaceuticals,Melsungen,1839,Medical devices and pharma,P | A
Babelsberg Studio,Consumer services,Broadcasting & entertainment,Potsdam,1912,Film studio,P | A
Bahlsen,Consumer goods,Food products,Hanover,1889,Biscuits and cakes,P | A
BASF,Basic materials,Speciality chemicals,Ludwigshafen,1865,Largest chemical producer in the world.,P | A
Bavaria Film Studios,Consumer services,Broadcasting & entertainment,Grünwald,1919,Film studio,P | A
Bayer,Health care,Pharmaceuticals,Leverkusen,1863,Chemicals and pharmaceuticals,P | A
BayWa,Consumer goods,Farming & fishing,Munich,1923,Agribusiness conglomerate,P | A
BBS Kraftfahrzeugtechnik,Consumer goods,Auto parts,Schiltach,1970,Automotive parts,P | A
Bechtle,Technology,Software,Neckarsulm,1983,Information technology services,P | A
Beck's Brewery,Consumer goods,Brewers,Bremen,1873,Alcoholic beverages,P | A
Behr GmbH & Co. KG,Industrials,Industrial suppliers,Stuttgart,1905,Part of Mahle GmbH,P | A
Behringer,Consumer goods,Consumer electronics,Willich,1989,Audio systems,P | A
Beiersdorf,Consumer goods,Personal products,Hamburg,1882,Cosmetics,P | A
Bellevue Investments,Technology,Software,Berlin,1993,Software holding company,P | A
Benecke-Kaliko,Industrials,Industrial suppliers,Hanover,1718,Automotive parts,P | A
Bertelsmann,Consumer services,Broadcasting & entertainment,Gütersloh,1835,Mass media,P | A
Beyerdynamic,Consumer goods,Consumer electronics,Heilbronn,1924,Audio electronics,P | A
Bilfinger,Industrials,Heavy construction,Mannheim,1880,"Construction, engineering and services",P | A
Birkenstock,Consumer goods,Clothing & accessories,Neustadt,1774,Shoes manufacturer,P | A
Bitburger Brewery,Consumer goods,Brewers,Bitburg,1817,Brewery,P | A
BioNTech,Healthcare,Vaccine,Mainz,2008,Biotechnology,P | A
Blohm+Voss,Industrials,Commercial vehicles & trucks,Hamburg,1877,"Shipyard, part of Lürssen",P | A
BMG Rights Management,Consumer services,Broadcasting & entertainment,Berlin,2008,"Music, part of Bertelsmann",P | A
BMW,Consumer goods,Automobiles,Munich,1916,Automotive,P | A
Boehringer Ingelheim,Health care,Pharmaceuticals,Ingelheim am Rhein,1885,Pharmaceuticals,P | A
BOMAG,Industrials,Commercial vehicles & trucks,Boppard,1957,Mechanical engineering,P | A
Brabus,Consumer services,Specialty retailers,Bottrop,1977,Automotive modifications and tuning,P | A
Braun,Consumer goods,Personal products,Kronberg,1921,"Razors and small appliances, part of Procter & Gamble (US)",P | A
Brenntag,Basic materials,Commodity chemicals,Mülheim,1874,Chemical distribution,P | A
C. Bechstein,Consumer goods,Recreational products,Berlin,1853,Musical instruments,P | A
C. Illies & Co.,Industrials,Business support services,Hamburg,1859,Engineering and export,P | A
Carl Walther GmbH,Industrials,Defense,Ulm,1886,Firearms,P | A
Carl Zeiss,Health care,Medical equipment,Oberkochen,1846,Optical systems,P | A
CureVac,Health care,Vaccine,Tübingen,2000,Biotechnology,P | A
Celesio,Health care,Pharmaceuticals,Stuttgart,1835,"Pharmaceuticals, defunct 2017, now part of McKesson",P | D
CineStar,Consumer services,Recreational services,Lübeck,1948,Cinemas,P | A
Circus Krone,Consumer services,Broadcasting & entertainment,Munich,1905,"Circus, entertainment",P | A
Claas,Industrials,Commercial vehicles & trucks,Harsewinkel,1913,Agricultural machinery,P | A
Commerzbank,Financials,Banks,Frankfurt,1870,Banking,P | A
Condor Flugdienst,Consumer services,Airlines,Frankfurt,1955,"Leisure airline, part of Thomas Cook Group (UK)",P | A
Continental,Industrials,Industrial suppliers,Hanover,1871,"Auto parts and supplies, part of Schaeffler Group",P | A
Covestro,Basic materials,Speciality chemicals,Leverkusen,2015,"Materials and coatings, part of Bayer",P | A
Mercedes-Benz Group,Consumer goods,Automobiles,Stuttgart,2007,Multinational automotive firm,P | A
Dba,Consumer services,Airlines,Munich,1992,"Low-cost airline, defunct 2008",P | D
Delton,Conglomerates,-,Bad Homburg vor der Höhe,1989,"Pharma, consumer goods, logistics",P | A
Der Spiegel,Consumer services,Publishing,Hamburg,1947,Weekly news magazine,P | A
Deutsche Bahn,Industrials,Railroads,Berlin,1994,State railways,S | A
Deutsche Bank,Financials,Banks,Frankfurt,1870,Banking,P | A
Deutsche Börse,Financials,Investment services,Frankfurt,1992,Securities marketplace,P | A
Deutsche Grammophon,Consumer goods,Broadcasting & entertainment,Hanover,1898,"Phonogramm producer, producer of the first Compact disc, now part of Universal Music Group (US)",P | A
Deutsche Messe,Consumer services,Recreational services,Hanover,1947,Largest fairground in the world,P | A
Deutsche Pfandbriefbank,Financials,Banks,Unterschleißheim,2015,Real estate financing bank,P | A
Deutsche Post,Industrials,Delivery services,Bonn,1995,Postal services,P | A
Deutsche Telekom,Telecommunications,Fixed line telecommunications,Bonn,1995,Telecommunications,P | A
Deutsche Vermögensberatung,Financials,Asset managers,Frankfurt,1975,Financial advice,P | A
Deutz,Industrials,Industrial machinery,Cologne,1864,Mechanical engineering,P | A
DHL,Industrials,Delivery services,Bonn,1969,"Logistics, part of Deutsche Post",P | A
Dieffenbacher,Industrials,Industrial machinery,Eppingen,1873,Machinery,P | A
Diehl Aerospace,Industrials,Aerospace,Überlingen,2006,Avionics,P | A
Diehl Defence,Industrials,Defense,Überlingen,2004,Arms,P | A
Diehl Metall,Industrials,Industrial machinery,Röthenbach an der Pegnitz,1938,"Metals, forges",P | A
Diezel,Consumer goods,Recreational products,Bad Steben,1994,Guitar amplifiers,P | A
Djshop,Consumer services,Broadcasting & entertainment,Vachendorf,1993,Online dance music retail store,P | A
DKW,Consumer goods,Automobile,?,1905,"Defunct 1932, now part of Audi",P | D
Douglas,Consumer services,Specialty retailers,Düsseldorf,1910,Perfume and cosmetics retailer,P | A
Dr. Oetker,Consumer goods,Food products,Bielefeld,1891,Food producer,P | A
Dräger,Health care,Medical equipment,Lübeck,1889,Medical technology,P | A
Dresdner Bank,Financials,Banks,Frankfurt,1872,"Now part of Commerzbank, defunct 2009",P | D
Dürr Group,Industrials,Industrial machinery,Stuttgart,1895,Plant and machinery construction,P | A
DVB Bank,Financials,Banks,Frankfurt,1923,Financials,P | A
E.ON,Utilities,Electricity,Essen,2000,Electric power,P | A
Eberhard Faber,Consumer goods,Nondurable household products,Neumarkt in der Oberpfalz,1922,Part of Staedtler,P | A
ebm-papst,Industrials,Industrial machinery,Mulfingen,1963,Electric motors and fans,P | A
Edeka,Consumer services,Food retailers & wholesalers,Berlin,1898,Supermarkets,P | A
ElringKlinger,Industrials,Industrial suppliers,Dettingen an der Erms,1879,Automotive parts,P | A
EnBW,Utilities,Electricity,Karlsruhe,1997,Electric power,P | A
EnOcean,Consumer goods,Consumer electronics,Oberhaching,2001,Electronics,P | A
Entwicklungsring Nord,Industrials,Aerospace,Bremen,1961,"Rocket parts, defunct 1977",P | D
Epcos,Consumer goods,Consumer electronics,Munich,1999,Electronics,P | A
E-Plus,Telecommunications,Mobile telecommunications,Düsseldorf,1992,"Mobile network, part of Telefónica Germany",P | A
Eurowings,Consumer services,Airlines,Düsseldorf,1990,Part of Lufthansa,P | A
Evonik Industries,Basic materials,Speciality chemicals,Essen,2007,Specialty chemicals,P | A
Faber-Castell,Consumer goods,Nondurable household products,Stein,1761,Writing instruments,P | A
Fein,Consumer goods,Durable household products,Schwäbisch Gmünd,1867,Power tools,P | A
Fendt,Industrials,Commercial vehicles & tractors,Marktoberdorf,1930,Agricultural machinery,P | A
Ferrostaal,Industrials,Industrial machinery,Essen,1920,"Industrial services, machinery",P | A
Festo,Industrials,Industrial machinery,Esslingen am Neckar,1925,Automation,P | A
Fischertechnik,Consumer goods,Toys,Waldachtal,1966,Construction sets,P | A
Fissler,Consumer goods,Durable household products,Idar-Oberstein,1845,Cookware manufacturer,P | A
Focke-Achgelis,Industrials,Aerospace,Hoykenkamp,1937,Defunct helicopter manufacturer,P | D
Focke-Wulf,Industrials,Aerospace,Bremen,1923,"Aircraft manufacturer, defunct 1964",P | D
Fond of Bags,Consumer goods,Clothing & accessories,Cologne,2010,Backpacks,P | A
Ford Germany,Consumer goods,Automobiles,Cologne,1925,"Automobile manufacturer, part of Ford Motor Company (US)",P | A
Ford of Europe,Consumer goods,Automobiles,Cologne,1967,"Automobile manufacturer, part of Ford Motor Company (US)",P | A
Franz Haniel & Cie.,Conglomerates,-,Duisburg,1756,Family holding company,P | A
